customer_id,location,gender,signup_date,sale_id,product_id,timestamp,quantity,price,revenue,name,category,supplier
1,Ibadan,Male,2020-12-25,164,56,2023-09-08,4,8313,33252,Product_56,Groceries,Supplier A
1,Ibadan,Male,2020-12-25,424,28,2022-11-19,4,27160,108640,Product_28,Groceries,Supplier D
1,Ibadan,Male,2020-12-25,498,44,2021-11-30,2,24321,48642,Product_44,Books,Supplier B
1,Ibadan,Male,2020-12-25,586,41,2021-11-22,4,11883,47532,Product_41,Groceries,Supplier D
1,Ibadan,Male,2020-12-25,841,68,2021-10-08,1,14788,14788,Product_68,Electronics,Supplier A
1,Ibadan,Male,2020-12-25,1546,81,2021-02-01,3,3593,10779,Product_81,Groceries,Supplier C
1,Ibadan,Male,2020-12-25,1924,85,2022-04-24,4,48351,193404,Product_85,Fashion,Supplier C
1,Ibadan,Male,2020-12-25,2505,93,2022-01-30,1,34950,34950,Product_93,Groceries,Supplier B
1,Ibadan,Male,2020-12-25,3064,55,2023-02-13,1,44564,44564,Product_55,Books,Supplier A
1,Ibadan,Male,2020-12-25,4609,84,2022-11-08,3,44913,134739,Product_84,Home,Supplier A
1,Ibadan,Male,2020-12-25,4680,47,2023-04-16,1,21695,21695,Product_47,Home,Supplier B
2,Port Harcourt,Female,2022-06-18,769,2,2023-11-17,4,26623,106492,Product_2,Groceries,Supplier D
2,Port Harcourt,Female,2022-06-18,1049,86,2022-08-12,4,28587,114348,Product_86,Fashion,Supplier C
2,Port Harcourt,Female,2022-06-18,1202,55,2021-04-15,3,44564,133692,Product_55,Books,Supplier A
2,Port Harcourt,Female,2022-06-18,2161,29,2022-12-20,1,5584,5584,Product_29,Electronics,Supplier B
2,Port Harcourt,Female,2022-06-18,2411,46,2023-02-19,2,25360,50720,Product_46,Toys,Supplier C
2,Port Harcourt,Female,2022-06-18,2492,28,2021-05-29,4,27160,108640,Product_28,Groceries,Supplier D
2,Port Harcourt,Female,2022-06-18,2563,26,2023-02-03,3,35650,106950,Product_26,Fashion,Supplier C
2,Port Harcourt,Female,2022-06-18,2577,15,2023-12-03,3,1507,4521,Product_15,Books,Supplier D
2,Port Harcourt,Female,2022-06-18,3039,74,2021-02-20,1,42346,42346,Product_74,Toys,Supplier D
2,Port Harcourt,Female,2022-06-18,4157,43,2021-06-26,3,2853,8559,Product_43,Home,Supplier D
2,Port Harcourt,Female,2022-06-18,4337,100,2022-04-28,1,11925,11925,Product_100,Home,Supplier A
3,Kano,Female,2020-10-07,450,75,2023-12-27,1,36112,36112,Product_75,Electronics,Supplier C
3,Kano,Female,2020-10-07,833,99,2023-02-01,2,20482,40964,Product_99,Fashion,Supplier B
3,Kano,Female,2020-10-07,1973,82,2021-10-16,3,12222,36666,Product_82,Home,Supplier A
3,Kano,Female,2020-10-07,2209,84,2022-04-21,3,44913,134739,Product_84,Home,Supplier A
3,Kano,Female,2020-10-07,2688,70,2023-09-11,3,7040,21120,Product_70,Home,Supplier A
3,Kano,Female,2020-10-07,2734,83,2022-08-10,4,22542,90168,Product_83,Fashion,Supplier B
3,Kano,Female,2020-10-07,4829,94,2022-06-11,1,32696,32696,Product_94,Electronics,Supplier C
3,Kano,Female,2020-10-07,4926,78,2023-08-12,1,23911,23911,Product_78,Books,Supplier D
4,Port Harcourt,Male,2021-10-28,220,42,2021-09-28,3,49646,148938,Product_42,Groceries,Supplier A
4,Port Harcourt,Male,2021-10-28,1175,4,2023-01-17,2,10677,21354,Product_4,Electronics,Supplier C
4,Port Harcourt,Male,2021-10-28,1507,38,2021-10-31,3,8573,25719,Product_38,Home,Supplier A
4,Port Harcourt,Male,2021-10-28,1902,46,2022-05-17,4,25360,101440,Product_46,Toys,Supplier C
4,Port Harcourt,Male,2021-10-28,1987,96,2021-07-17,4,7924,31696,Product_96,Books,Supplier B
4,Port Harcourt,Male,2021-10-28,2005,67,2023-11-22,2,36624,73248,Product_67,Electronics,Supplier A
4,Port Harcourt,Male,2021-10-28,3140,47,2022-06-12,4,21695,86780,Product_47,Home,Supplier B
4,Port Harcourt,Male,2021-10-28,4854,11,2023-07-15,1,7509,7509,Product_11,Electronics,Supplier D
4,Port Harcourt,Male,2021-10-28,4873,39,2022-05-31,2,9577,19154,Product_39,Fashion,Supplier A
5,Port Harcourt,Male,2020-04-02,1356,9,2022-08-09,4,35332,141328,Product_9,Electronics,Supplier A
5,Port Harcourt,Male,2020-04-02,1398,59,2022-10-15,1,28070,28070,Product_59,Home,Supplier C
5,Port Harcourt,Male,2020-04-02,1734,28,2021-11-16,3,27160,81480,Product_28,Groceries,Supplier D
5,Port Harcourt,Male,2020-04-02,2077,90,2023-02-19,3,16835,50505,Product_90,Home,Supplier D
6,Abuja,Female,2021-11-02,367,33,2023-09-28,1,18771,18771,Product_33,Electronics,Supplier D
6,Abuja,Female,2021-11-02,846,93,2021-10-29,4,34950,139800,Product_93,Groceries,Supplier B
6,Abuja,Female,2021-11-02,2402,33,2021-12-21,3,18771,56313,Product_33,Electronics,Supplier D
6,Abuja,Female,2021-11-02,3401,95,2022-11-21,4,6126,24504,Product_95,Electronics,Supplier C
6,Abuja,Female,2021-11-02,3608,28,2023-02-09,1,27160,27160,Product_28,Groceries,Supplier D
6,Abuja,Female,2021-11-02,3882,32,2022-10-21,4,7559,30236,Product_32,Toys,Supplier A
6,Abuja,Female,2021-11-02,4162,6,2021-08-18,2,30720,61440,Product_6,Toys,Supplier A
7,Kano,Female,2020-03-01,341,26,2022-10-05,1,35650,35650,Product_26,Fashion,Supplier C
7,Kano,Female,2020-03-01,361,92,2021-03-15,4,49401,197604,Product_92,Groceries,Supplier A
7,Kano,Female,2020-03-01,422,66,2022-01-26,4,13525,54100,Product_66,Fashion,Supplier D
7,Kano,Female,2020-03-01,1651,65,2023-10-29,3,26529,79587,Product_65,Electronics,Supplier C
7,Kano,Female,2020-03-01,1983,45,2021-11-26,4,38067,152268,Product_45,Toys,Supplier A
7,Kano,Female,2020-03-01,2183,17,2023-12-02,2,11206,22412,Product_17,Electronics,Supplier A
7,Kano,Female,2020-03-01,2485,86,2021-03-10,4,28587,114348,Product_86,Fashion,Supplier C
7,Kano,Female,2020-03-01,3211,96,2021-02-11,2,7924,15848,Product_96,Books,Supplier B
7,Kano,Female,2020-03-01,3493,65,2023-05-01,3,26529,79587,Product_65,Electronics,Supplier C
7,Kano,Female,2020-03-01,3511,40,2022-11-01,3,21453,64359,Product_40,Groceries,Supplier B
7,Kano,Female,2020-03-01,3751,13,2021-08-24,4,37811,151244,Product_13,Toys,Supplier A
7,Kano,Female,2020-03-01,4465,12,2021-06-25,1,13487,13487,Product_12,Fashion,Supplier B
8,Kano,Female,2021-09-25,251,11,2021-05-04,4,7509,30036,Product_11,Electronics,Supplier D
8,Kano,Female,2021-09-25,1203,92,2021-11-20,3,49401,148203,Product_92,Groceries,Supplier A
8,Kano,Female,2021-09-25,1213,44,2022-05-01,4,24321,97284,Product_44,Books,Supplier B
8,Kano,Female,2021-09-25,2660,42,2021-01-31,1,49646,49646,Product_42,Groceries,Supplier A
8,Kano,Female,2021-09-25,3652,13,2022-12-20,3,37811,113433,Product_13,Toys,Supplier A
8,Kano,Female,2021-09-25,3923,24,2023-02-15,4,1935,7740,Product_24,Fashion,Supplier B
8,Kano,Female,2021-09-25,4187,41,2021-04-02,3,11883,35649,Product_41,Groceries,Supplier D
8,Kano,Female,2021-09-25,4560,17,2023-05-31,4,11206,44824,Product_17,Electronics,Supplier A
8,Kano,Female,2021-09-25,4638,86,2023-02-19,2,28587,57174,Product_86,Fashion,Supplier C
8,Kano,Female,2021-09-25,4689,43,2021-09-16,4,2853,11412,Product_43,Home,Supplier D
8,Kano,Female,2021-09-25,4993,20,2023-09-10,1,29757,29757,Product_20,Home,Supplier B
9,Kano,Male,2022-12-10,223,78,2023-09-13,4,23911,95644,Product_78,Books,Supplier D
9,Kano,Male,2022-12-10,257,93,2023-02-21,3,34950,104850,Product_93,Groceries,Supplier B
9,Kano,Male,2022-12-10,655,16,2023-06-12,2,5945,11890,Product_16,Groceries,Supplier A
9,Kano,Male,2022-12-10,1135,4,2023-11-02,1,10677,10677,Product_4,Electronics,Supplier C
9,Kano,Male,2022-12-10,1461,16,2021-08-01,1,5945,5945,Product_16,Groceries,Supplier A
9,Kano,Male,2022-12-10,1520,14,2021-10-27,1,32075,32075,Product_14,Electronics,Supplier C
9,Kano,Male,2022-12-10,2609,69,2021-11-06,2,24150,48300,Product_69,Fashion,Supplier C
9,Kano,Male,2022-12-10,2889,65,2022-07-01,2,26529,53058,Product_65,Electronics,Supplier C
9,Kano,Male,2022-12-10,3385,54,2023-07-01,4,22010,88040,Product_54,Home,Supplier A
9,Kano,Male,2022-12-10,3538,90,2021-02-02,2,16835,33670,Product_90,Home,Supplier D
9,Kano,Male,2022-12-10,3678,76,2022-04-18,1,10896,10896,Product_76,Electronics,Supplier C
9,Kano,Male,2022-12-10,4540,61,2021-07-26,3,29741,89223,Product_61,Toys,Supplier D
9,Kano,Male,2022-12-10,4838,15,2021-08-09,3,1507,4521,Product_15,Books,Supplier D
10,Port Harcourt,Female,2022-10-25,209,18,2022-03-09,1,48017,48017,Product_18,Toys,Supplier C
10,Port Harcourt,Female,2022-10-25,363,64,2022-11-29,4,12245,48980,Product_64,Fashion,Supplier C
10,Port Harcourt,Female,2022-10-25,770,11,2023-12-30,3,7509,22527,Product_11,Electronics,Supplier D
10,Port Harcourt,Female,2022-10-25,848,29,2023-02-08,3,5584,16752,Product_29,Electronics,Supplier B
10,Port Harcourt,Female,2022-10-25,1164,64,2022-02-14,2,12245,24490,Product_64,Fashion,Supplier C
